ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,660.614,660.614,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.003,0.003,660.595,660.595,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
781,0.053,0.000,657.278,0.842,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:152(step)
781,0.002,0.000,649.128,0.831,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:29(step)
781,0.006,0.000,649.111,0.831,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:197(step)
781,0.038,0.000,637.359,0.816,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
11715,0.242,0.000,424.331,0.036,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:288(act)
585750,3.448,0.000,422.319,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:77(act)
699022,33.546,0.000,288.133,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:307(neighbour_vehicles)
124703828/102402715,110.050,0.000,259.810,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
11715,5.621,0.000,212.796,0.018,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:293(step)
41104710,70.044,0.000,193.532,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:164(local_coordinates)
14936625,8.819,0.000,165.164,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:163(check_collision)
98073492,41.848,0.000,149.364,0.000,<__array_function__ internals>:2(dot)
14936625,27.303,0.000,145.322,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:195(_is_colliding)
15047726,7.192,0.000,102.975,0.000,<__array_function__ internals>:2(norm)
15047726,42.524,0.000,86.848,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
3578079,2.045,0.000,81.794,0.000,<__array_function__ internals>:2(clip)
4182940,3.000,0.000,76.578,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
3578079,3.054,0.000,76.246,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2044(clip)
34951881,58.214,0.000,62.502,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:61(on_lane)
597536,6.005,0.000,61.349,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:113(steering_control)
3574555,6.643,0.000,59.913,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:124(_clip)
585040,0.907,0.000,48.383,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:198(change_lane_policy)
54483,0.263,0.000,45.432,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:237(mobil)
2378280,2.762,0.000,42.756,0.000,{method 'clip' of 'numpy.generic' objects}
597465,7.980,0.000,41.395,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:121(step)
585750,0.616,0.000,41.062,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:112(step)
63168017,17.489,0.000,39.320,0.000,{built-in method builtins.isinstance}
7149110,18.053,0.000,39.030,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:90(_clip_dep_is_scalar_nan)
853336,7.121,0.000,35.478,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:123(acceleration)
597465,0.934,0.000,32.369,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
602565,2.878,0.000,31.561,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
1799274,2.704,0.000,26.802,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
2410260,7.925,0.000,23.714,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:102(distance_with_heading)
51724489,10.425,0.000,21.365,0.000,/usr/lib/python3.8/abc.py:96(__instancecheck__)
7149310,3.294,0.000,21.000,0.000,<__array_function__ internals>:2(ndim)
1196275,0.733,0.000,20.651,0.000,{method 'clip' of 'numpy.ndarray' objects}
816346,3.801,0.000,18.819,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/behavior.py:153(desired_gap)
24126217,6.172,0.000,17.689,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_asarray.py:23(asarray)
27641021,14.992,0.000,14.992,0.000,{built-in method numpy.array}
7149310,6.489,0.000,14.348,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3106(ndim)
881,0.039,0.000,13.177,0.015,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:187(observe)
2555140,8.956,0.000,11.480,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:71(direction)
3574555,10.946,0.000,10.946,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:105(_clip_dep_invoke_with_casting)
51724489,10.939,0.000,10.939,0.000,{built-in method _abc._abc_instancecheck}
14949167,10.884,0.000,10.884,0.000,{built-in method numpy.zeros}
1706488,2.750,0.000,10.834,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:202(velocity)
98073492,10.468,0.000,10.468,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/multiarray.py:716(dot)
833103,0.915,0.000,8.809,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:94(lane_distance_to)
781,0.007,0.000,6.998,0.009,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/abstract.py:37(record)
881,0.025,0.000,6.648,0.008,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/observation.py:165(normalize_obs)
15073375,6.371,0.000,6.371,0.000,{method 'ravel' of 'numpy.ndarray' objects}
597536,0.623,0.000,4.904,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:105(follow_road)
15047726,3.173,0.000,4.568,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:112(isComplexType)
602565,0.333,0.000,4.511,0.000,<__array_function__ internals>:2(argmin)
718,0.145,0.000,4.380,0.006,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/pytorch.py:40(compute_bellman_residual)
35006650,4.290,0.000,4.290,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:161(width_at)
597536,0.677,0.000,4.028,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/road/lane.py:92(after_end)
602565,0.411,0.000,3.783,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1200(argmin)
3524,0.024,0.000,3.309,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7600(clip)
7149110,2.404,0.000,3.293,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/core/_methods.py:100(_clip_dep_is_byte_swapped)
31187024,3.274,0.000,3.274,0.000,{built-in method builtins.issubclass}
3524,0.059,0.000,3.135,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:7550(_clip_with_scalar)
100,0.000,0.000,3.042,0.030,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/trainer/evaluation.py:361(reset)
100,0.000,0.000,3.042,0.030,/home/harry/individual_project/.venv/lib/python3.8/site-packages/gym/wrappers/monitor.py:36(reset)
100,0.001,0.000,3.038,0.030,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/common/abstract.py:175(reset)
20745,0.700,0.000,2.999,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:142(are_polygons_intersecting)
49946/2938,0.231,0.000,2.921,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/torch/nn/modules/module.py:866(_call_impl)
2938,0.014,0.000,2.896,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/common/models.py:290(forward)
7048,0.018,0.000,2.824,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9147(where)
7048,0.102,0.000,2.803,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/generic.py:9001(_where)
718,0.023,0.000,2.529,0.004,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/deep_q_network/pytorch.py:32(step_optimizer)
9691,0.045,0.000,2.463,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:2987(__getitem__)
2938,0.024,0.000,2.421,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/common/models.py:302(forward_attention)
3007796,2.318,0.000,2.318,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:39(wrap_to_pi)
5086,0.025,0.000,2.307,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/utils.py:15(lmap)
14096,0.023,0.000,2.283,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/ops/common.py:50(new_method)
14096,0.044,0.000,2.213,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:4992(_arith_method)
56384,0.195,0.000,2.162,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:238(__init__)
5681888,2.074,0.000,2.074,0.000,{built-in method builtins.max}
1762,0.011,0.000,2.023,0.001,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/frame.py:1724(from_records)
12496,0.019,0.000,1.958,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:220(act)
4371,1.941,0.000,1.941,0.000,{built-in method tensor}
15047726,1.935,0.000,1.935,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/numpy/linalg/linalg.py:2358(_norm_dispatcher)
12496,0.050,0.000,1.904,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/controller.py:75(act)
41490,0.600,0.000,1.775,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/objects.py:79(polygon)
100,0.000,0.000,1.530,0.015,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/highway_env.py:53(_reset)
100,0.010,0.000,1.510,0.015,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/envs/highway_env.py:62(_create_vehicles)
5100,0.061,0.000,1.496,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/highway_env/vehicle/kinematics.py:60(create_random)
9509851/9509827,1.450,0.000,1.470,0.000,{built-in method builtins.getattr}
2938,0.147,0.000,1.415,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/rl_agents/agents/common/models.py:176(forward)
14096,0.039,0.000,1.406,0.000,/home/harry/individual_project/.venv/lib/python3.8/site-packages/pandas/core/series.py:2734(_construct_result)
