ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,67.069,67.069,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.001,0.001,67.046,67.046,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
202,0.012,0.000,59.056,0.292,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:152(step)
202,0.001,0.000,55.768,0.276,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:29(step)
202,0.001,0.000,55.760,0.276,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/intersection_env.py:97(step)
202,0.003,0.000,55.601,0.275,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:197(step)
202,0.015,0.000,50.269,0.249,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
3930,0.014,0.000,39.657,0.010,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/regulation.py:21(step)
3930,0.180,0.000,27.843,0.007,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:293(step)
30495,0.970,0.000,24.001,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:121(step)
30780,1.803,0.000,22.958,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
30495,0.147,0.000,22.865,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
3208014/2254519,5.970,0.000,22.249,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
27465,0.063,0.000,21.696,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:112(step)
615600,5.515,0.000,20.303,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:102(distance_with_heading)
3930,0.027,0.000,17.590,0.004,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:288(act)
27465,0.271,0.000,16.598,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:77(act)
555,0.094,0.000,11.800,0.021,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/regulation.py:27(enforce_road_rules)
16785,0.726,0.000,11.700,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/regulation.py:69(is_conflict_possible)
179250,0.217,0.000,9.993,0.000,<__array_function__ internals>:2(clip)
210675,0.281,0.000,9.635,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
179250,0.269,0.000,9.394,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2033(clip)
586797,0.633,0.000,9.268,0.000,<__array_function__ internals>:2(norm)
275535,3.653,0.000,8.580,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:253(local_coordinates)
703725,3.201,0.000,7.980,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:164(local_coordinates)
20,0.000,0.000,7.901,0.395,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:361(reset)
