ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,61.379,61.379,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.001,0.001,61.359,61.359,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
187,0.006,0.000,53.933,0.288,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:152(step)
187,0.001,0.000,49.170,0.263,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:29(step)
187,0.001,0.000,49.162,0.263,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/intersection_env.py:97(step)
187,0.004,0.000,49.002,0.262,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:197(step)
187,0.015,0.000,44.187,0.236,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
3705,0.014,0.000,35.163,0.009,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/regulation.py:21(step)
3705,0.156,0.000,25.575,0.007,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:293(step)
25635,0.908,0.000,22.381,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:121(step)
25895,1.675,0.000,21.415,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
25635,0.137,0.000,21.319,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
22830,0.058,0.000,19.970,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:112(step)
517900,5.166,0.000,18.949,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:102(distance_with_heading)
2559975/1800251,5.255,0.000,18.689,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
3705,0.025,0.000,15.493,0.004,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:288(act)
22830,0.246,0.000,14.493,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/behavior.py:77(act)
522,0.078,0.000,9.573,0.018,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/regulation.py:27(enforce_road_rules)
12360,0.590,0.000,9.488,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/regulation.py:69(is_conflict_possible)
456078,0.549,0.000,8.019,0.000,<__array_function__ internals>:2(norm)
149839,0.203,0.000,8.006,0.000,<__array_function__ internals>:2(clip)
223681,3.291,0.000,7.728,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:253(local_coordinates)
176129,0.257,0.000,7.680,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
149839,0.248,0.000,7.454,0.000,/home/harry/.local/lib/python3.6/site-packages/numpy/core/fromnumeric.py:2033(clip)
20,0.000,0.000,7.271,0.364,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:361(reset)
