ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,165.814,165.814,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:105(train)
1,0.017,0.017,165.687,165.687,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:129(run_episodes)
4000,0.025,0.000,159.392,0.040,/home/harry/.local/lib/python3.6/site-packages/rl_agents/trainer/evaluation.py:152(step)
4000,0.014,0.000,159.358,0.040,/home/harry/.local/lib/python3.6/site-packages/gym/wrappers/monitor.py:29(step)
4000,0.036,0.000,159.258,0.040,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:197(step)
12600,0.635,0.000,82.177,0.007,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/observation.py:318(observe)
4000,0.266,0.000,81.375,0.020,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/common/abstract.py:220(_simulate)
60000,0.233,0.000,80.713,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:293(step)
60000,1.628,0.000,78.612,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:121(step)
60000,0.374,0.000,76.705,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:156(on_state_update)
120400,5.317,0.000,75.774,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/road.py:49(get_closest_lane_index)
3612000,24.070,0.000,67.284,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:102(distance_with_heading)
25200,0.174,0.000,50.251,0.002,/home/harry/.local/lib/python3.6/site-packages/pandas/core/frame.py:1660(from_records)
60200,0.198,0.000,38.362,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:32(__init__)
60400,0.374,0.000,38.333,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/objects.py:23(__init__)
60000,0.080,0.000,38.246,0.001,/home/harry/.local/lib/python3.6/site-packages/highway_env/vehicle/kinematics.py:99(create_from)
25200,0.085,0.000,32.347,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/construction.py:60(arrays_to_mgr)
3612000,12.973,0.000,32.163,0.000,/home/harry/.local/lib/python3.6/site-packages/highway_env/road/lane.py:164(local_coordinates)
25200,0.274,0.000,28.962,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/frame.py:2869(__getitem__)
4000,0.024,0.000,25.821,0.006,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/parking_env.py:121(_is_terminal)
4000,0.014,0.000,25.776,0.006,/home/harry/.local/lib/python3.6/site-packages/highway_env/envs/parking_env.py:112(_reward)
7302000,6.085,0.000,19.457,0.000,<__array_function__ internals>:2(dot)
25200,0.133,0.000,19.157,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/managers.py:1684(create_block_manager_from_arrays)
277200,0.333,0.000,19.002,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/indexes/base.py:5562(ensure_index)
25200,1.219,0.000,18.203,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/managers.py:1724(form_blocks)
151200/75600,2.508,0.000,17.693,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/indexes/base.py:293(__new__)
7822400/7747200,13.148,0.000,17.392,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
25200,0.216,0.000,16.575,0.001,/home/harry/.local/lib/python3.6/site-packages/pandas/core/indexing.py:1208(_get_listlike_indexer)
19661554/19661338,7.564,0.000,16.184,0.000,{built-in method builtins.isinstance}
289800,1.401,0.000,12.628,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/blocks.py:2677(get_block_type)
25200,0.087,0.000,11.417,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:3355(_take_with_is_copy)
1890000,1.665,0.000,10.907,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/dtypes/base.py:256(is_dtype)
25200,0.431,0.000,10.625,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/construction.py:329(_homogenize)
25200,0.186,0.000,10.608,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/generic.py:3256(take)
25200,0.077,0.000,10.597,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/construction.py:498(to_arrays)
25200,0.467,0.000,10.374,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/construction.py:609(_list_of_dict_to_arrays)
25200,0.298,0.000,10.022,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/managers.py:1436(take)
239400,1.178,0.000,9.674,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/construction.py:390(sanitize_array)
25200,0.030,0.000,9.464,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/construction.py:709(_convert_object_array)
25200,0.131,0.000,9.434,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/construction.py:732(<listcomp>)
239400,0.517,0.000,9.303,0.000,/home/harry/.local/lib/python3.6/site-packages/pandas/core/internals/construction.py:726(convert)
